PART NUMBER,NOMENCLATURE,MANUFACTURER,
172010-07,Oxygen Valve,B/E Aerospace,Oxygen
172010-08,Oxygen Valve,B/E Aerospace,Oxygen
172010-09,Oxygen Valve,B/E Aerospace,Oxygen
172010-10,Oxygen Valve,B/E Aerospace,Oxygen
172010-11,Oxygen Valve,B/E Aerospace,Oxygen
172010-12,Oxygen Valve,B/E Aerospace,Oxygen
172010-13,Oxygen Valve,B/E Aerospace,Oxygen
ZV929-G7,Oxygen Valve,B/E Aerospace,Oxygen
WKA31424,Oxygen Valve,Kidde- Graviner,Oxygen
"801977-01,-02,-03,-04",Oxygen Valve Assy.,AVOX Systems,Oxygen
801977-05,Oxygen Valve Assy.,AVOX Systems,Oxygen
801977-01,Oxygen Valve Assy.,AVOX Systems,Oxygen
801977-02,Oxygen Valve Assy.,AVOX Systems,Oxygen
801977-03,Oxygen Valve Assy.,AVOX Systems,Oxygen
801977-04,Oxygen Valve Assy.,AVOX Systems,Oxygen
801977-05,Oxygen Valve Assy.,AVOX Systems,Oxygen
801977-06,Oxygen Valve Assy.,AVOX Systems,Oxygen
10850-10,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10850-11,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10850-12,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10850-16,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10850-17,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10850-18,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10850-19,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10850-21,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10850-67,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10861-01,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
10861-06,"Oxygen Valve, Slow Opening",AVOX Systems,Oxygen
211-162,"Oxygen Valve,COMB.INHALE/EXHALE",AVOX Systems,Oxygen
211-165,"Oxygen Valve,COMB.INHALE/EXHALE",AVOX Systems,Oxygen
211-165W,"Oxygen Valve,COMB.INHALE/EXHALE",AVOX Systems,Oxygen
211-190,"Oxygen Valve,COMB.INHALE/EXHALE",AVOX Systems,Oxygen
5500 Series,Port. Oxygen Assy.,AVOX Systems,Oxygen
5600 Series,Port. Oxygen Assy.,AVOX Systems,Oxygen
894 Series,Port. Oxygen Assy.,AVOX Systems,Oxygen
9700 Series,Port. Oxygen Assy.,AVOX Systems,Oxygen
9800 Series,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-20200,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-20330,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-20400,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-30200,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-30220,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-30300,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-30330,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-30400,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-30430,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-40300,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-40330,Port. Oxygen Assy.,AVOX Systems,Oxygen
894-50300,Port. Oxygen Assy.,AVOX Systems,Oxygen
176921,Port. Oxygen Assy.,B/E Aerospace,Oxygen
900-700-035 Series,Port. Oxygen Assy.,Sabre/ Robertshaw,Oxygen
803440-30,SLOW OPENING VALVE ASSEMBLY,AVOX Systems,Oxygen
803440-93,SLOW OPENING VALVE ASSEMBLY,AVOX Systems,Oxygen
803440-94,SLOW OPENING VALVE ASSEMBLY,AVOX Systems,Oxygen
803440-99,SLOW OPENING VALVE ASSEMBLY,AVOX Systems,Oxygen
76650-01801-103 (see23111353-1),Air Cylinder Assy.,Astrajet,Pneumatic
9910154 Series (See 900297),Air Cylinder Assy.,Cessna,Pneumatic
9912103-2 (see 111974-1),Air Cylinder Assy.,Cessna,Pneumatic
9912103-3 (see 212940-2),Air Cylinder Assy.,Cessna,Pneumatic
9914099-4 (see 900548-4),Air Cylinder Assy.,Cessna,Pneumatic
900548-4,Air Cylinder Assy.,Futurecraft / S. Bend,Pneumatic
1159SCH233-11,Air Cylinder Assy.,Gulfstream,Pneumatic
1159SCH233-5 (see 36200042),Air Cylinder Assy.,Gulfstream,Pneumatic
40000500 Series,Air Cylinder Assy.,HTL,Pneumatic
212940-2,Air Cylinder Assy.,HTL,Pneumatic
212940-3,Air Cylinder Assy.,HTL,Pneumatic
36200009,Air Cylinder Assy.,HTL,Pneumatic
36200010,Air Cylinder Assy.,HTL,Pneumatic
36200011,Air Cylinder Assy.,HTL,Pneumatic
36200012,Air Cylinder Assy.,HTL,Pneumatic
36200027,Air Cylinder Assy.,HTL,Pneumatic
36200042,Air Cylinder Assy.,HTL,Pneumatic
36200071,Air Cylinder Assy.,HTL,Pneumatic
23711187,Air Cylinder Assy.,TAVCO,Pneumatic
23700110,Air Reservoir,TAVCO,Pneumatic
23700146,Air Reservoir,TAVCO,Pneumatic
6600194-6,Air Reservoir,TAVCO,Pneumatic
900297 Series,Emergency Air Supply System,South Bend Controls,Pneumatic
1270156-4,Emergency Door Opening Device,SCI,Pneumatic
60B10003 Series (see 803300 series),Emergency Power Reservoir,Boeing,Pneumatic
803300 Series,Emergency Power Reservoir,Hr Textron,Pneumatic
843300 Series,Emergency Power Reservoir,Hr Textron,Pneumatic
40400-2,Emergency Power Reservoir,MASS Systems,Pneumatic
814200 Series,Gas Reservoir Assy,Hr Textron,Pneumatic
10-3224-4 (see 36200012),Nitrogen Reservoir,Boeing,Pneumatic
10-3224-2 (see 36200027),Nitrogen Reservoir,Boeing,Pneumatic
16D17199-4,Pneumatic Container,Military,Pneumatic
99140991-1 (see 212940-3),Pneumatic Storage & Control,Pacific Scientific /HTL,Pneumatic
60991-101,Raft Bottle,Air Crusiers,Pneumatic
64479 SERIES,Raft Bottle,Air Crusiers,Pneumatic
64626 SERIES,Raft Bottle,Air Crusiers,Pneumatic
64922 SERIES,Raft Bottle,Air Crusiers,Pneumatic
D17807 SERIES,Raft Bottle,Air Crusiers,Pneumatic
D12807,Raft Bottle,Air Crusiers,Pneumatic
R0032 SERIES,Raft Bottle,Eastern Aero Marine,Pneumatic
130104 Series,Raft Bottle,Goodrich,Pneumatic
4A3756 SERIES,Raft Bottle,Goodrich,Pneumatic
4A3818 SERIES,Raft Bottle,Goodrich,Pneumatic
4A3904 SERIES,Raft Bottle,Goodrich,Pneumatic
42623001,Raft Bottle,RFD,Pneumatic
42623002,Raft Bottle,RFD,Pneumatic
44063002,Raft Bottle,RFD,Pneumatic
44063001,Raft Bottle,RFD,Pneumatic
3RA000- (58 thru 63),Raft Bottle,WINSLOW,Pneumatic
212-378-050,Reservoir,Aeronautical Accessories,Pneumatic
41004509-1,Reservoir Assembly,Pacific Scientific /HTL,Pneumatic
41004563-1,Reservoir Assembly,Pacific Scientific /HTL,Pneumatic
2370017,Reservoir Bottle,TAVCO,Pneumatic
710026-13,Reservoir Bottle,Twin Commander,Pneumatic
6350A20-X-A,11.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A20-X-AC,11.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A20-X-B,11.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A20-X-F,11.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A20-X-G,11.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A20-X-R,11.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
891511-00,114 PNT CYL,AVOX Systems,Cylinder
10003367,114 PNT CYLINDER,AVOX Systems,Cylinder
6350A34-X-A,115.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A34-X-AK,115.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A34-X-C,115.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A34-X-Z,115.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A4-X-A,22.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A4-X-AJ,22.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A4-X-B,22.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A4-X-F,22.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A4-X-G,22.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A2-X-F,38.4 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A2-X-G,38.4 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A2-X-A,38.40 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A22-X-A,39.40 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A22-X-C,39.40 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A13-X-A,4.25 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A13-X-AJ,4.25 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A13-X-F,4.25 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A13-X-G,4.25 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A5-X-A,48.30 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A5-X-B,48.30 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A5-X-F,48.30 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A5-X-G,48.30 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A5-X-Z,48.30 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
10005003,49 PNT CYLINDER,AVOX Systems,Cylinder
6350A25-X-A,49.80 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A25-X-AG,49.80 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A25-X-AK,49.80 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A25-X-C,49.80 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A25-X-Z,49.80 CU FT PAINTED CYLUNDER,AVOX Systems,Cylinder
6350A7-X-AJ,63.50 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A7-X-Z,63.50 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
10005002,66 PNT CYLINDER,AVOX Systems,Cylinder
6350A27-X-A,66.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A27-X-AK,66.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A27-X-C,66.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A27-X-Z,66.00 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A14-X-A,7.15 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A14-X-G,7.15 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
10003366,76 PNT CYLINDER,AVOX Systems,Cylinder
6350A33-X-A,76.50 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A33-X-AK,76.50 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A33-X-C,76.50 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
6350A33-X-Z,76.50 CU FT PAINTED CYLINDER,AVOX Systems,Cylinder
801977-02,"CYL, REG & COMPENSATOR A",AVOX Systems,Cylinder
801977-03,"CYL, REG & COMPENSATOR A",AVOX Systems,Cylinder
801977-12,"CYL, REG & COMPENSATOR ASSY",AVOX Systems,Cylinder
801977-13,"CYL, REG & COMPENSATOR ASSY",AVOX Systems,Cylinder
801977-14,"CYL, REG & COMPENSATOR ASSY",AVOX Systems,Cylinder
6084-6,Cylinder,AVOX Systems,Cylinder
21507-04,"CYLINDER , LT WT COM, 115.7 CUFT",AVOX Systems,Cylinder
21507-02,"CYLINDER , LT WT COMP , 50.1 CUFT",AVOX Systems,Cylinder
21507-01,"CYLINDER , LT WT COMP, 22.8 CUFT",AVOX Systems,Cylinder
899-AA0S15,CYLINDER & REG,AVOX Systems,Cylinder
899-BA0S22,CYLINDER & REG ASSY,AVOX Systems,Cylinder
899-CA0C15,CYLINDER & REGULATOR ASS,AVOX Systems,Cylinder
891511-11,CYLINDER & VALVE,AVOX Systems,Cylinder
891511-31,CYLINDER & VALVE,AVOX Systems,Cylinder
891521-00,CYLINDER & VALVE,AVOX Systems,Cylinder
891320-29,CYLINDER & VALVE ASSEMBL,AVOX Systems,Cylinder
6350A22-CC-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A22-FF-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A22-UUU-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A22-WW-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-BB-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-CC-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-DD-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-EE-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-EE-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-FF-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-SSS-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-SSS-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-UUU-AG,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-UUU-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-UUU-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-UU-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A25-WW-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A27-CC-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A27-EE-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A27-EE-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A27-FF-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A27-SSS-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A27-SSS-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A27-WW-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A2-BB-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A2-CC-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A2-YYY-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-CC-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-CC-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-EE-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-FF-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-SSS-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-SSS-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-UUU-AG,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-UUU-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-UUU-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A33-WW-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-BB-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-CC-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-CC-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-DD-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-EE-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-EE-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-FF-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-SSS-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-SSS-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-UU-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-UUU-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-UUU-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-YYY-A,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A34-YYY-C,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A4-SSS-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A4-YYY-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A5-CC-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A5-CC-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A5-EE-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A5-FF-B,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
6350A7-CC-Z,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
891310-29,CYLINDER & VALVE ASSEMBLY,AVOX Systems,Cylinder
1270152-1,Cylinder only,SCI,Cylinder
1270152-3,Cylinder only,SCI,Cylinder
1270152-4,Cylinder only,SCI,Cylinder
1270452,Cylinder only,SCI,Cylinder
891411-17,CYLINDER VALVE ASSY,AVOX Systems,Cylinder
891411-19,CYLINDER VALVE ASSY,AVOX Systems,Cylinder
891411-31,CYLINDER VALVE ASSY,AVOX Systems,Cylinder
6084-20,CYLINDER-11.00 CU FT,AVOX Systems,Cylinder
6084-34,CYLINDER-115.00 CU FT,AVOX Systems,Cylinder
6084-04,CYLINDER-22.00 CU FT,AVOX Systems,Cylinder
6084-06,CYLINDER-38.40 CU FT,AVOX Systems,Cylinder
6084-26,CYLINDER-39.40 CU FT,AVOX Systems,Cylinder
6084-01,CYLINDER-4.25 CU FT,AVOX Systems,Cylinder
6084-27,CYLINDER-49.80 CU FT,AVOX Systems,Cylinder
6084-09,CYLINDER-63.50 CU FT,AVOX Systems,Cylinder
6084-29,CYLINDER-66.00 CU FT,AVOX Systems,Cylinder
6084-02,CYLINDER-7.15 CU FT,AVOX Systems,Cylinder
6350A4-CC-B,CYLINDER-VALVE ASSY,AVOX Systems,Cylinder
6350A7-FF-B,CYLINDER-VALVE ASSY,AVOX Systems,Cylinder
21507-05,"CYLINDER, LT WT COMP, 39.9 CUFT",AVOX Systems,Cylinder
21507-03,"CYLINDER, LT WT COMP, 77.1 CUFT",AVOX Systems,Cylinder
21507-06,"CYLINDER, LT WT. COMP, 11.2 CUFT",AVOX Systems,Cylinder
25200-22,"EXEC MARK II, 22 CU.FT. CYL.",AVOX Systems,Cylinder
25200-38,"EXEC MARK II, 38 CU. FT. CYL.",AVOX Systems,Cylinder
25200-48,"EXEC MARK II, 48 CU. FT. CYL.",AVOX Systems,Cylinder
25200-63,"EXEC MARK II, 63 CU. FT. CYL.",AVOX Systems,Cylinder
803163-01,"REG, TRANS & CPLG ASSY",AVOX Systems,Cylinder
803163-03,"REG, TRANS & CPLG ASSY",AVOX Systems,Cylinder
803163-05,"REG, TRANS & CPLG ASSY",AVOX Systems,Cylinder
803163-06,"REG, TRANS & CPLG ASSY",AVOX Systems,Cylinder
803163-11,"REG, TRANS & CPLG ASSY",AVOX Systems,Cylinder
803163-13,"REG, TRANS & CPLG ASSY",AVOX Systems,Cylinder
803163-15,"REG, TRANS & CPLG ASSY",AVOX Systems,Cylinder
800649-00,REG. ASSY-O2 PRESS/DEMAND,AVOX Systems,Cylinder
800649-01,REG. ASSY-O2 PRESS/DEMAND,AVOX Systems,Cylinder
803163-12,"REG., TRANS. & COUPLING ASSY",AVOX Systems,Cylinder
